date,lat[unit="degrees_north"],lon[unit="degrees_east"],salt[unit=""],temp[unit="Celsius"]
2016-04-30T03:00:00Z,40.2,1.8,38.151824951171875,15.747846603393555
2016-04-30T06:00:00Z,40.2,1.8,38.143062591552734,15.704052925109863
2016-04-30T09:00:00Z,40.2,1.8,38.12900161743164,15.671060562133789
2016-04-30T12:00:00Z,40.2,1.8,38.1529655456543,15.729666709899902
2016-04-30T15:00:00Z,40.2,1.8,38.137088775634766,15.787744522094727
2016-04-30T18:00:00Z,40.2,1.8,38.138877868652344,15.727810859680176
2016-04-30T21:00:00Z,40.2,1.8,38.14162063598633,15.659858703613281
2016-05-01T00:00:00Z,40.2,1.8,38.11610794067383,15.60014820098877
2016-05-01T03:00:00Z,40.2,1.8,38.14665603637695,15.512070655822754
2016-05-01T06:00:00Z,40.2,1.8,38.14463424682617,15.447318077087402
2016-05-01T09:00:00Z,40.2,1.8,38.1519775390625,15.467791557312012
2016-05-01T12:00:00Z,40.2,1.8,38.161582946777344,15.477930068969727
2016-05-01T15:00:00Z,40.2,1.8,38.156715393066406,15.468528747558594
2016-05-01T18:00:00Z,40.2,1.8,38.16547775268555,15.413839340209961
2016-05-01T21:00:00Z,40.2,1.8,38.17457962036133,15.345995903015137
2016-05-02T00:00:00Z,40.2,1.8,38.170955657958984,15.32082748413086
2016-05-02T03:00:00Z,40.2,1.8,38.18391799926758,15.277512550354004
2016-05-02T06:00:00Z,40.2,1.8,38.17742156982422,15.23513126373291
2016-05-02T09:00:00Z,40.2,1.8,38.17628479003906,15.252169609069824
2016-05-02T12:00:00Z,40.2,1.8,38.194129943847656,15.335220336914062
2016-05-02T15:00:00Z,40.2,1.8,38.1983757019043,15.387396812438965
2016-05-02T18:00:00Z,40.2,1.8,38.19160079956055,15.360057830810547
2016-05-02T21:00:00Z,40.2,1.8,38.19363021850586,15.300031661987305
2016-05-03T00:00:00Z,40.2,1.8,38.24083709716797,15.271000862121582
2016-05-03T03:00:00Z,40.2,1.8,38.23123550415039,15.275195121765137
2016-05-03T06:00:00Z,40.2,1.8,38.229698181152344,15.288467407226562
2016-05-03T09:00:00Z,40.2,1.8,38.23907470703125,15.37234878540039
2016-05-03T12:00:00Z,40.2,1.8,38.25667190551758,15.680451393127441
2016-05-03T15:00:00Z,40.2,1.8,38.274803161621094,16.135089874267578
2016-05-03T18:00:00Z,40.2,1.8,38.269004821777344,16.302364349365234
2016-05-03T21:00:00Z,40.2,1.8,38.28676223754883,16.131385803222656
2016-05-04T00:00:00Z,40.2,1.8,38.28542709350586,15.534662246704102
2016-05-04T03:00:00Z,40.2,1.8,38.29172134399414,15.411351203918457
2016-05-04T06:00:00Z,40.2,1.8,38.29237747192383,15.441763877868652
2016-05-04T09:00:00Z,40.2,1.8,38.28989791870117,15.63553524017334
2016-05-04T12:00:00Z,40.2,1.8,38.29521179199219,16.148025512695312
2016-05-04T15:00:00Z,40.2,1.8,38.30262756347656,16.508577346801758
2016-05-04T18:00:00Z,40.2,1.8,38.30531692504883,16.664413452148438
2016-05-04T21:00:00Z,40.2,1.8,38.31001663208008,16.453367233276367
2016-05-05T00:00:00Z,40.2,1.8,38.30985641479492,15.940996170043945
2016-05-05T03:00:00Z,40.2,1.8,38.29680633544922,15.689388275146484
2016-05-05T06:00:00Z,40.2,1.8,38.278892517089844,15.6491117477417
2016-05-05T09:00:00Z,40.2,1.8,38.28300857543945,15.951334953308105
2016-05-05T12:00:00Z,40.2,1.8,38.28550338745117,16.3785457611084
2016-05-05T15:00:00Z,40.2,1.8,38.2950439453125,16.708820343017578
2016-05-05T18:00:00Z,40.2,1.8,38.28461837768555,16.253400802612305
2016-05-05T21:00:00Z,40.2,1.8,38.26166534423828,15.910257339477539
2016-05-06T00:00:00Z,40.2,1.8,38.247825622558594,15.8206205368042
2016-05-06T03:00:00Z,40.2,1.8,38.24580764770508,15.8140230178833
2016-05-06T06:00:00Z,40.2,1.8,38.248294830322266,15.817412376403809
2016-05-06T09:00:00Z,40.2,1.8,38.249908447265625,15.862799644470215
2016-05-06T12:00:00Z,40.2,1.8,38.246856689453125,16.084089279174805
2016-05-06T15:00:00Z,40.2,1.8,38.24638366699219,16.228792190551758
2016-05-06T18:00:00Z,40.2,1.8,38.247955322265625,16.226442337036133
2016-05-06T21:00:00Z,40.2,1.8,38.24958038330078,16.17796516418457
2016-05-07T00:00:00Z,40.2,1.8,38.24871826171875,16.134681701660156
2016-05-07T03:00:00Z,40.2,1.8,38.24582290649414,16.149749755859375
2016-05-07T06:00:00Z,40.2,1.8,38.24284744262695,16.16825294494629
2016-05-07T09:00:00Z,40.2,1.8,38.243839263916016,16.206422805786133
2016-05-07T12:00:00Z,40.2,1.8,38.24535369873047,16.32670021057129
2016-05-07T15:00:00Z,40.2,1.8,38.24665069580078,16.479087829589844
2016-05-07T18:00:00Z,40.2,1.8,38.24694061279297,16.42110252380371
2016-05-07T21:00:00Z,40.2,1.8,38.24043273925781,16.3621826171875
2016-05-08T00:00:00Z,40.2,1.8,38.23278045654297,16.33810806274414
